Τίτλος του δίσκου;Τίτλος τραγουδιού;Συνθέτης;Στιχουργός;Τραγουδιστής;ΕΤΑΙΡΕΙΑ;Ετος κυκλοφ.;Στίχοι;Εκτέλεση;Χρόνος
Εγείρεσθε άγωμεν εντεύθεν;Οπως πρώτα;Φιλιππίδης Aλέξανδρος;Αρτέμης & Ευθύμης;Αρτέμης & Ευθύμης;FM RECORDS;2004-08-05;"Είνα' το δίδυμο το επικίνδυνο.
MCs εγκαταλείπουνε μέχρι να πεις την λέξη κίμινο.
Όρθιοι παρά το τόσο κίτρινο,
στο Έσσεται Ήμαρ από κάθε ανελλήνιστο υποκείμενο.
Έτσι μετά το χάλι, η φάση ξαναθάλλει.
Φεύγουνε οι μογιλάλοι, η σκέψη σου αλλάζει κανάλι.
Στίχοι απ' ατσάλι ρυθμοί μεγάλοι,
για κάθε σκληροπυρηνκό κεφάλι.
Εί!Σα τον Βάρναλη φέρνουμε το φως που καίει.
Η ενέργεια που 'χε βαλτώσει, ξαναρέει, σχηματίζει δίνη.
Αρτέμης με τον Ευθύμη.
Λευτερία στην Ελλάδα και στην Παλαστίνη!
Ευθύμισ και Αρτέμης όπως πρώτα, κατά το ειωθότα.
Πάλι βγαίνουμε βόλτα.Πάλι από στόμα σε στόμα.
Από πόρτα σε πόρτα.Πάλι για να δώσουμε φώτα.
Πάλι δε μιλάμε για χόρτα ούτε για καβγάδες,
τσαμπουκάδες και όπλα.Πάμε κόντρα, Με πύρινη γλώττα,
ρηγγύομεν ώτα.Προλέγουμε κακά γεγονότα

Άνοιξ' τα μάτια, πές Ώπα!.Η ίδια τρέλα άλλαξε ρότα.
Αρτέμης Ευθύμισ όπως πρώτα, Χέρια ψηλά και χειροκρότα.
Άνοιξ' τα μάτια, πές Ώπα!.Η ίδια τρέλα άλλαξε ρότα.
Αρτέμης Ευθύμισ σε νέα κόλπα.
Χέρια ψηλά και χειροκρότα.

Κάποιοι χαρήκανε, νομίζαν ότι κοιμηθήκαμε
τον Βαρούχιο ύπνο, ξύπνιοι όμως παραμείναμε
και λίγο λίγο σαν τον Λίνο Καρζή,
πλάθαμε το νέο μας μύθο.
Κι έτσι φέρνουμε μπροστά σου ζωντανό,
το στιλ το αμιγώς ελληνοπυρηνικό.
Το σκηνικό αλλάζει άρδην, ήπιοι MCs φεύγουνε τροχάδην.
Είναι η παλιά φρουρά που επιστρέφει με φόρα το κάναμε τότε μπορούμε και τώρα
Έφτασε η ώρα να πάψει η χώρα να καθέδρει υπό μανδραγόρα
Ευθύμισ και Αρτέμης πάλι παίρνουν εμπρός.
Ο λόγος γνωστός ο σκοπός ιερός.
Είχαν πει ο ίστρος μας πως είναι νεκρός
όμως ποιος είναι αυτός που θα μας βγάλει εκτός;
Χίλιες δυό απομιμήσεις βγήκαν στο φως μα κανείς ικανός
για να σταθεί οδηγός.Ήρθε ο καιρός να ανοίξει νέα οδός.
Σαφώς αν δεν έχεις μάθει το πως τότε ρώτα


Άνοιξ' τα μάτια, πές Ώπα!.Η ίδια τρέλα άλλαξε ρότα.
Αρτέμης Ευθύμισ όπως πρώτα, Χέρια ψηλά και χειροκρότα.
Άνοιξ' τα μάτια, πές Ώπα!.Η ίδια τρέλα άλλαξε ρότα.
Αρτέμης Ευθύμισ σε νέα κόλπα.
Χέρια ψηλά και χειροκρότα.";1;2004
Η Πόλις εάλω;Η εκδίκηση του αληθινού;Αρτέμης & Ευθύμης;Αρτέμης & Ευθύμης;Αρτέμης & Ευθύμης;FM RECORDS;1997-01-01;"Φωνές του Χάους,
φωνές του Σκότους,
διάλεξαν εσάς απ' όλους
για να πάρουν τώρα πρώτους.
Με τους Ήχους του Κακού
των TERROR X CREW,
και η ήρθε η πολυπόθητη Εκδίκηση Του Αληθινού.
Έχω την ποίηση του δρόμου,
κι είμαι εκτός νόμου
θα κάνω πρώτα αυτό που λέει η καρδιά
και το μυαλό μου.
Ποτέ του συστήματος υπηρέτης,
του Wild Style,
στην Ελλάδα, ο εφευρέτης.
Με κατηγορείς για φόνο εκ προ μελέτης.
Μα δε με βλέπεις ! 
Χτυπάω και τρέχω.
Είμαι σκοταίος ! 
Βρίσκομαι σε αποστολή.
Να την τελειώσω έχω χρέος.
Και στέκομαι όρθιος,
την ώρα που άλλοι
επιλέγουν να σέρνονται..
Δεν έχουνε μάθει να μάχονται,
γι' αυτό κι έτσι φέρονται.
Άλλοι λένε... Ξεφεύγουνε απ' την πραγματικότητα,
το παίζουν άτομα
κι ύστερα πέφτουνε στο πάτωμα απότομα.
Χωρίς προσωπικότητα.
Τη μόδα ακολουθούν τυφλά.
Χοροπηδούν.
Όπως κι όποτε τους το ζητούν.
Και ξεπουλιούνται.
Ασχολούνται με τέκνο και ποπ.
Μα εγώ κρατάω ακόμα
το αυθεντικό Hip Hop
Εν έτι '96 με τους TERROR X CREW
για τη πολυπόθητη Εκδίκηση
...
Είναι η Εκδίκηση Του Αληθινού

Ειν' η Εκδίκηση
του Αληθινού, του Αυθεντικού.
Είναι η Εκδίκηση του Αληθινού ! 
Είναι η Εκδίκηση των TERROR X CREW.

Έφτασε η ώρα να βγω για να παίξω.
Το Χάος να θρέψω.
Κι ότι μου ανήκει να σου κλέψω.
Οργή και Κατάρα με ακολουθούσε.
Χτυπούσε η Αόρατη Δύναμη,
που πίσω με κρατούσε.
Ποτέ δεν περίμενες
πως θα βγω ζωντανός.
Είμαι Αληθινός.
Και δε χρωστάω τίποτα κανενός,
μα συνεχώς με εμποδίζεις,
με υποβαθμίζεις, με βρίζεις,
Ό,τι αρχίζω να χτίζω
συνεχίζεις να γκρεμίζεις.
Όμως αντέχω ! 
Γιατί το μόνο που θέλω
είναι να σε τρέχω.
Τίποτα δε θα χάσω
αφού τίποτα δεν έχω.
Γι' αυτό βγαίνω...
και συνεχίζω να σ' εκνευρίζω.
Με στίχους σαν βόμβες
να καταστρέφω, να γκρεμίζω.
Αρνούμαι να παραιτούμαι
από όλα όσα δικαιούμαι.
Θ' αντικρούσω.
Ακούς;;
Χτυπάω τύμπανα πολέμου,
σειρήνες πανικού.
Είν' η Εκδίκηση
του Αληθινού, του Αυθεντικού.

Θέλανε κάτω να με κρατήσουνε,
να με σταματήσουνε.
Επιχειρήσανε πισώπλατα να με χτυπήσουνε.
Μα επιβίωσα. Επέζησα. Γύρισα.
Πέρασα τώρα στην αντεπίθεση.
Χωρίς προειδοποίηση.
Ήρθε η Εκδίκηση από το πουθενά.
Το βουλώνεις.
Μα εγώ φωνάζω ακόμα δυνατά.
Και τώρα σου τινάζω στον αέρα τα μυαλά,
παλιομαλάκα,
και τώρα τραβάω στα άκρα.
Τα μάτια να κλείσω δεν μπορώ
σ' αυτά που βλέπω.
Γι' αυτό, συχνά, σε μπερδεμένες καταστάσεις μπλέκω.
Αυτά που δε μου κάθονται σωστά
τα λέω κανονικά.
Δεν τα βάζω σε καλούπια για να βγουν εμπορικά.
Γι' αυτό πολλοί μου λένε:
δε σέβομαι κανένα.
Δε σέβομαι κανένα
που δε σέβεται εμένα.
Αλλάζω θέμα ! Συντονίσου ! 
Δυνάμωσε τη φωνή σου ! 
Πάρε στα χέρια σου,
επιτέλους, τη ζωή σου.
Και μην πτοείσαι ! 
Έλα όπως είσαι ! 
Μην πας αλλού ! 
Την Ώρα της Εκδίκησης
του Αληθινού.";1;1997
Καλή όρεξη;Χωρίς επωδό;Ασημακόπουλος Ανδρέας;Ασημακόπουλος Ανδρέας;ΜΑΥΡΗ ΜΑΓΙΟΝΕΖΑ;TECH KILLA RECORDS;2007-01-01;"Είναι βράδυ, μα νομίζω πως σε λίγο θα φέξει
κάτσε να σου 'πω την ιστορία του Αλέξη
ένα παιδάκι ζωντανό με δυό σπίρτα αντί για μάτια
αν η ζωή είναι λιμάνι, αυτός σκαρφάλωνε κατάρτια.
Τώρα μόνο ένα απόκομμα σε μια εφημερίδα
Θεέ μου μη σε τύφλωσε του επίσκοπου η χλίδα
ο άρχοντας των μυγών στην Ελλάδα του 06
νικητής ο απαθής αυτή τη βρωμα να αντέξει
ποιος θα πει σε αυτή τη Μάννα τι μαθαίνουν στα σχολεία
TV, παιδεία και ωμή βία
τα παιδιά είναι εγκληματίες συναινείς για τιμωρία
αλλά η βρωμα ξεκινάει από σένα κοινωνία.

Εδώ κάτω δεν έχει οίκτο για το διαφορετικό
όλοι να μοιάζουν πάρε παράδειγμα το κάθε σου ευρώ
πόσο άθλια μοιάζει τώρα η τηλεόραση κλειστή
με όποιον δάσκαλο καθίσεις ίδια είναι η χολή
και τι λέτε τώρα εσείς για τον άτυχο Αλέξη
συζητάτε συνεχώς και δεν λέτε ούτε λέξη
πως τον (σσσσς…) ένα τσούρμο από απαίδευτους αλήτες
έχετε δίκιο, κοιταχτείτε στον καθρέφτη είναι οι γύπες.
Δεν έχω δάκρυα τα σκούπισε η αδιαφορία
κι όταν θα ξεφουσκώσει δε θα μείνει ούτε πικρία.
Αντίο μικρέ μου φίλε κάνω μία προσευχή
όλους τούτους τους αλήτες να τους πνίξει η ντροπή.

Δεν τελειώσαμε ακόμα, έχω ακόμα μια στροφή
και συγγνώμη που τα λέω, σας χαλάω τη γιορτή
η παιδεία εκφυλίστηκε σε εξετάσεις
φροντιστήρια, αγγλικά, βαθμούς και βάσεις
να τι έμεινε απ' τη χώρα του Σωκράτη
τηλεπωλήσεις βιβλίων με το δεμάτι
τηλεόραση του βάλτου, ότι σπέρνεις θα θερίσεις
το θέμα είναι θέμα μόνο αν φτάσει στις ειδήσεις
πολύ την Κυριακή μα καθόλου τη Δευτέρα
κι οι πνευματικοί ηγέτες να βρέχονται πιο πέρα
φταίχτης δεν ήταν ποτέ το μαχαίρι
αν το καθοδηγούσε πιο υπεύθυνα το χέρι.

Δεν έχουμε επωδό
Για κάτι τόσο φριχτό...
Όχι, δεν έχουμε επωδό
Κανένα στίχο…";1;2007
Εμεις οι Ελληνες;Κυρά μου Ελλάδα μου;Γιαννόπουλος Χρήστος;Ασημακοπούλου Μέη Ελένη;Τσέρτος Μπάμπης;ΚΑΛΛΙΤΕΧΝΙΚΟΣ ΣΥΛΛΟΓΟΣ ΔΗΜΟΤΙΚΗΣ ΜΟΥΣΙΚΗΣ ΔΟΜΝΑ ΣΑΜΙΟΥ;2021-06-22;"Στη καρδιά μου τ όνομά σου χαραγμένο
τον αέρα σου ρουφώ και ανασαίνω 
στο γαλάζιο της ματιάς σου με περπάτησα
στο άρωμά σου νανουρίστηκα, υπνοβάτησα
και με λούσανε τα δάκρυα σου τ' αλμυρά
Αχ πατρίδα μου,Ελλάδα μου κυρά. 

Με γαλούχισες με τ ουρανού το μάνα
Μου τραγουδησες της άνοιξης παιάνα,
με τα πρώτα μου τα λόγια σε συλλάβισα,
να φλερτάρεις με τον ήλιο μεσολάβησα
και πονούσα σαν σου κλέβαν την χαρά,
Αχ πατρίδα μου Ελλάδα μου κυρά
 R
Kυρά μου Ελλάδα μου, φως και λιακάδα μου 
σε λατρέψαν ζωγραφοι και σε τίμησαν. 
Kυρά μου Ελλάδα μου, φως και λιακάδα μου 
γονατισαν μπροστά σου και σε ύμνησαν.

απ τη πρώτη τους ανάσα κι ως το γέρμα
τα παιδιά σου σε προστάτευσαν με αίμα";1;2021
Με το βαρέλι που για να βγει το σπάει;Καλέ στρατιώτη;Ασιμος Νικόλας;Ασιμος Νικόλας;Ασιμος Νικόλας;ΙΔΙΩΤΙΚΗ ΕΚΔΟΣΗ;1978-01-01;"Με το περίστροφο στην πλάτη πάν' οι φαντάροι μας μπροστά
Να λευθερώσουν την πατρίδα
Να σφάξουν όλους τους οχτρούς
Τούρκους, Ρωμαίους και Ινδούς
Εξόν αυτούς που μας βοηθάνε
Ποιους;
Τους φίλους Αμερικανούς.
Και ήρθανε και τα Μιράζ
Ω ! Τι μας νοιάζ' , Ω ! τι πειράζ' , Ω ! τι τρανό μαράζ' 
Κι 'μείς περιμέναμε να φάμε
Του Κοινοβουλίου τα μπαζ' 
Κι απ' το πουλί όπου γυαλίζ' πέρνουμε κι θάρρος.
Αυτά μας χράστηκαν τώρα
Να μην ήταν τουλάχιστον του Νάτου κι οι στόλοι
Και να μπόραγεν ο Καραμαγλής να τα χρησιμοποιήσει
Αυτός για τον εαυτό του ε ! κομμάτια να
Γένουνταν.
Ίσα ουρέ τσακάλια. Μπρος να μη μας φάει ου ουχτρός.
Θα σας μάθου ιγώ βήμα.
Ένα στο δεξί, δυό στ' αριστερό. Δεξί ουρέ.
Αριστερό ιγώ.
Δεξί ουρέ.
Αριστερό ιγώ.
Προσουχή ! Ουρθώς ουρέ.
Γκριμιέμ' ιγώ.
Ουρθώς. Ουρέ.
Γκριμιέμι ιγώ.
Να φαντάρους. να μάλαμα. Ιγώ τουν λέου Ουρθώσ' 
Κι αυτός γκριμιέτ. να φαρμακώσουμι τουν Κανονισμό κι να
Τ' απαυτώσουμι του ηθικό. Τι λεν' ουρέ στους
Φαντάρους για να ισθάνουντι αφεντικά κάπ' αλλού;
Το ρυθμό, το ρυθμό, τον θυμάστι το ρυθμό
Αχ Μαρία τα μπούτια σου. Αχ Μαρία τα μπούτια σου
Αχ Μαρία τα μπούτια σου. Αχ Μαρία τα μπούτια σου
Ζωντάνεψε ρε.
Αχ Μαρία τα μπούτια σου. Αχ Μαρία τα μπούτια σου
Κλίνατ' έπου δε, Ιμπρός αρς.
Αχ Μαρία τα μπούτια σου. Αχ Μαρία τα μπούτια σου
Ζωντάνεψε ρε.

Καλέ στρατιώτη
Ζήσε για την τιμή
Ζήσε, καλέ στρατιώτη

Ζήσε για τη ζωή.

Ζήσε να πας στον πόλεμο
Ζήσε για την πατρίδα
Ζήσε να πας στο θάνατο
Για την Ελευθερία για μας.

Ζήσε για μας, καλέ στρατιώτη
Ζήσε για την Ελλάδα μας
Ζήσε για τα καλά παιδάκια
Που πίνουμε το γάλα μας.

Ζήσε για την πατρίδα σου
Ζήσε για τους ανθρώπους.

Καλέ Στρατιώτη

Ζήσε για την τιμή
";1;1978
;Σαν παραμύθι Ελληνικό;Τσαντίλας Γιώργος;Ασλανίδου Δέσποινα;Καραγιάννης Νίκος;;1997-09-13;"Σαν παραμύθι ελληνικό
αρχίζει ο τόπος μου και μαρτυράει
παράλογο και λογικό
κι η ανέμη ξώφαλτσα χτυπάει

Μέσα μου ρίχνω όλο το φως
απλώνω του παραμυθιού το νήμα
τη μοναξιά ξεπλένω εντός
να μάθω θέλησα το ποίημα
Ελληνικός καφές διπλός
Ελλάδα στείλε μου το σήμα

Ελληνικός καφές διπλός
το σκηνικό ένα καφενείο
πως ήρθε έτσι ένας καιρός
που γίναμε ένας αριθμός
το ένα κι ένα σαν λυγμός
με τίποτα δεν κάνουν δύο

Σαν παραμύθι ελληνικό
αρχίζει τ'όνειρο και ξεθωριάζει
ανάλογο και ξαφνικό
απόμακρη η αλήθεια μοιάζει

Δίπλα μου έχω τα εντός
φοβάμαι τώρα να σ' ανοίξω
Ελλάδα αίμα του παντός
μέσα σου έρχομαι να σκύψω
Ελληνικός καφές διπλός
φοβάμαι πάλι να σ' ανοίξω";1;1997
Κάτι τέτοιες ιστορίες;Σαν την Ελλάδα;Αυγερινός Χρήστος;Αυγερινός Χρήστος;Αυγερινός Χρήστος;RCA;1993-01-01;"Ανώνυμα τηλέφωνα πολύ συχνά σε παίρνουν
και λέν' πως μ' άλλη μ' είδανε, αυτοί που μας ζηλεύουν,
ανώνυμα τηλέφωνα, στο χωρισμό μας φέρνουν.

Μα σαν την Ελλάδα, σαν την Ελλάδα που ποτέ δεν πεθαίνει,
έτσι και η δική μας η αγάπη τίποτα δεν καταλαβαίνει,
σαν την Ελλάδα, σαν την Ελλάδα που ποτέ δεν πεθαίνει,
έτσι και η δική μας η αγάπη τίποτα δεν καταλαβαίνει.

Τα ψέματα που βρίσκουμε στον τηλεφωνητή μας,
πολύ συχνά, μας βάζουνε διχόνοια μεταξύ μας,
τα ψέματα που βρίσκουμε στον τηλεφωνητή μας.

Μα σαν την Ελλάδα, σαν την Ελλάδα που ποτέ δεν πεθαίνει,
έτσι και η δική μας η αγάπη τίποτα δεν καταλαβαίνει,
σαν την Ελλάδα, σαν την Ελλάδα που ποτέ δεν πεθαίνει,
έτσι και η δική μας η αγάπη τίποτα δεν καταλαβαίνει.

Σαν την Ελλάδα, σαν την Ελλάδα που ποτέ δεν πεθαίνει,
έτσι και η δική μας η αγάπη τίποτα δεν καταλαβαίνει,
σαν την Ελλάδα, σαν την Ελλάδα που ποτέ δεν πεθαίνει,
έτσι και η δική μας η αγάπη τίποτα δεν καταλαβαίνει.";1;1993
Αρχή επί τέλους;Βλακειάδα 2004;ΒΑΒΥΛΩΝΑ;ΒΑΒΥΛΩΝΑ;ΒΑΒΥΛΩΝΑ;PARLOPHONE RECORDS ( DE );1997-01-01;"Τα 'μαθες ρε κέρδισε η δικιά μας πόλη
και τηρεί προϋποθέσεις που θα ζήλευαν όλοι
όλο καμάρι οι άρχοντές μας γιορτάζουν το καλό
με πανηγύρια μνημεία και αρχαίο φελλό
με του Ομήρου τα λεϊζερ χορογραφίες του Δία
και μια πορνη ιδέα να ζητιανεύει αηδία
και ντύνεται Ολυμπία όλη η Ελλάδα
γονατιστή παρακαλάει για σένα Βλακειάδα
βρήκαμε ντόπα δυνατή τα τεστ να μην την πιάνουν
κι οι δικοί μας να μην χάνουν
θα χουμε και σπόνσορα που λες την κοκα ριόλα
ναι πάντα κοκα ριόλα

Η χώρα η δικιά μου που λέγεται Ελλάδα
παλιά δεν είχε σπόνσορα δεν είχε αφεντικό
φιρί φιρί το πάει για μία Βλακειάδα
και πρέπει να χρεώσω σε κάποιους τον κακό

Θα ντύσουμε τις γλάστρες με χλαμύδες
θα κάνουμε απολύμανση και για τις κατσαρίδες
θα φέρουμε τα σύνορα μέχρι τον Λεωνίδα
του το 'ταξαν μου το 'πε όταν τον είδα
παντού θ' απαγορεύονται κι οι γέννες κι οι κηδείες
θ' αλλάξουν τα σενάρια και για τις τραγωδίες
θα' ρθούνε καλλιτέχνες εμβέλειας μεγάλης
την έναρξη θα κάνει ο εθνικός μπακάλης
τα σκηνικά τους το 'πα μην πάνε όλα άδικα
να κάνουν τους αγώνες οι βλάκες στα ελληνάδικα
στο φυσικό τους χώρο θα σπάσουν τα ρεκόρ
γιατί θα τους τονώνει συνέχεια το ντεκόρ
θα τους θυμίζει αυτή η μουσική το ήθος
όλων αυτών που πάλεψαν για να υπάρχει ο μύθος
ότι πρέπει να πάρουμε για πάντα στην Ελλάδα
αυτό που λέγανε παλιά Ολυμπιάδα

Η χώρα η δικιά μου που λέγεται Ελλάδα
παλιά δεν είχε σπόνσορα δεν είχε αφεντικό
φιρί φιρί το πάει για μία Βλακειάδα
και πρέπει να χρεώσω σε κάποιους τον κακό

Ακούστε τ' αγωνίσματα που η χώρα μας μπορεί
να πάρει και μετάλιο αφού είναι φαβορί
με τσιφτετελοβάδην θα γίνει η αρχή
αφού έχουμε και Τούρκο παλιό προπονητή
συνέχεια στις μπάρες τα άθλημα είν' η σφήνα
κι αν πάς πολύ καλά κομμάτια σ' ένα μήνα
στα 3000 μέτρα τύφλα κι εθνική
αλήθεια πάντα υπάρχει μεγάλη προοπτική
τρέξιμο πολύ στα 100 και μέσα
και μη ζητάς πολλά δεν έχουν όλοι μπέσα
στο polo με polo χρειάζονται και κώλο
και κώλο με κώλο στο solo με polo
και μην τρομάξετε αν μας πάρει από χάμω
έχουμε καλούς στις μπαλωτιές σε γάμο
στην σπαταλοδρομία ρε δεν αφήνουν
στις ρουφιανοδρομίες εκεί ρε να μας δείς
γι' αυτό σου λέω μπορούμε παντού να διακριθούμε
την άκρη θα την βρούμε παντού θα τη χωθούμε
κι αν δεν πιστεύεις όσα λέω μου τα 'πανε δεν τα 'δα
μας έχω όμως ικανούς για μία Βλακειάδα

Η χώρα η δικιά μου που λέγεται Ελλάδα
παλιά δεν είχε σπόνσορα δεν είχε αφεντικό
φιρί φιρί το πάει για μία Βλακειάδα
και πρέπει να χρεώσω σε κάποιους τον κακό

Ω ! Έλληνες χαρείτε
θα τελειώσει και το μετρό
Ω ! Έλληνες χαρείτε
όσο έχετε καιρό
Ω ! Έλληνες χαρείτε
στη Λωζάνη είχε πάει κι ο Κοκός
Ω ! Έλληνες χαρείτε
ας μας λυπηθεί ο Θεός
Ω ! Έλληνες χαρείτε
γκαστρώθηκε η ισχνή μας αγελάδα
Ω ! Έλληνες χαρείτε
τέρμα πιά η φασολάδα
Ω ! Έλληνες χαρείτε
θα είναι οι καλύτεροι αγώνες
Ω ! Έλληνες χαρείτε
η παρακμή χορηγός εις τους αιώνες";1;1997
Δεν είμαι εκείνη;Οι άντρες θέλουν σκότωμα;Μαβίλης Βασίλης;Βαξαβανέλης Νίκος;Κουταλίδου Ιωάννα;VIRUS MUSIC;2005-01-01;"Έχω παράπονα πολλά πάρα πολλά από τους άντρες
Έχω παράπονα πολλά πάρα πολλά από τους άντρες

Ο πρώτος με τις φίλες μου δε μ' άφηνε να βγω
και τα μηνύματά μου διάβαζε στο κινητό
αργότερα δε μ' άφηνε να φύγω απ' το κρεβάτι
μέχρι που μου έφερε στο τέλος και πελάτη
μου ζήταγε να βάφομαι σαν σταρ του σινεμά
να ντύνομαι όταν βγαίνουμε πολύ προκλητικά
και συνεχώς μου το 'παιζε μαγκάκι δυνατός
μέχρι που ανακάλυψα πως είναι κουνιστός

Οι άντρες θέλουν σκότωμα σκότωμα σκότωμα
Οι άντρες θέλουν σκότωμα εν ψυχρώ
Οι άντρες θέλουν σκότωμα σκότωμα σκότωμα
άλλο χωρισμό 'ν' αντέξω δεν μπορώ

Ο δεύτερος μου εκθείαζε την οικογένειά του
και έφερνε στα ραντεβού μαζί και τη μαμμά του
τεμπέλης για δουλειά δεν πήγαινε ποτέ
του έπαιρνα τσιγάρα τον κέρναγα καφέ
το ράλι και τα γκάζια είχε συνέχεια στο μυαλό του
και ένιωθα αντίζηλος με τ' αυτοκινητό του
για εκδρομλες με έσερνε για ράφτινγκ στα βουνά
και έσπασε ένα χέρι και τέσσερα πλευρά

Οι άντρες θέλουν σκότωμα σκότωμα σκότωμα
Οι άντρες θέλουν σκότωμα εν ψυχρώ
Οι άντρες θέλουν σκότωμα σκότωμα σκότωμα
άλλο χωρισμό 'ν' αντέξω δεν μπορώ

Ο τρίτος που τα έφτιαξα γουστάριζε φρουτάκια
μου φάγανε την προίκα μου μπαράκια κι εφταράκια
τις Κυριακές στα γήπεδα με έπαιρνε μαζί του
να μπει το γκολ περίμενα να πάρω ένα φιλί του
το ψέμα του το χόρτασα και μου 'γινε συνήθεια
της χαλιμάς τα έμαθα όλα τα παραμύθια
στο τέλος μου το έπαιζε γαμπρός μες στην Ελλάδα
δεν άφησε απείραχτη καμιά μου φιλενάδα

Οι άντρες θέλουν σκότωμα σκότωμα σκότωμα
Οι άντρες θέλουν σκότωμα εν ψυχρώ
Οι άντρες θέλουν σκότωμα σκότωμα σκότωμα
άλλο χωρισμό 'ν' αντέξω δεν μπορώ";1;2005
Ο δικός μου ο δρόμος;Ζήτω τα παράλογα;Κελαϊδής Βασίλης;Βαξαβανέλης Νίκος;Τερζής Πασχάλης;ΑΚΤΗ ( EL );1998-11-01;"Μία πάνω μια κάτω μες στον κόσμο το φευγάτο, 
μία πάνω μια κάτω, δε βαριέσαι κι άσπρο πάτο.
Θ' αμαρτήσω και θ' αγιάσω, ο παπάς κάνει το ράσο.
Όσα έρθουν κι όσα πάνε, τη ζωή δεν τη φοβάμαι.

Ζήτω τα παράλογα, ζήτω η Ελλάς
ζήτω τα παλιόπαιδα, ζήτω ο μας και μας.
Ζήτω τα παράλογα, ζήτω η Ελλάς
ζήτω τα παλιόπαιδα, ζήτω ο μας και μας.

Μία μέσα μια έξω, σε ποιον ψεύτη να πιστέψω;
Τι κι αν ξέμεινα στον άσσο, τη θηλιά θα κάνω λάσο.
Θα σαλτάρω κι ότι γίνει, θα πατήσω στη Σελήνη.
Το χρυσάφι ήταν μπακίρι, δε θα κάνω το φακίρη.

Ζήτω τα παράλογα, ζήτω η Ελλάς
ζήτω τα παλιόπαιδα, ζήτω ο μας και μας.
Ζήτω τα παράλογα, ζήτω η Ελλάς
ζήτω τα παλιόπαιδα, ζήτω ο μας και μας.";1;1998
Προτεραιότητα;Γαλανά;Κελαϊδής Βασίλης;Βαξαβανέλης Νίκος;Παπαρίζου Ελενα;COLUMBIA ( US );2004-07-01;"Πάρο, Νάξο, Μύκονο
Σύρο και Φολέγανδρο
Κρήτη, Ρόδο, Κω και Σαντορίνη
Πάνω σ' ένα δίτροχο
Έρωτα σ' αναζητώ
Στη γαλάζια απεραντοσύνη

Γαλανά όνειρα
Σε νησιά Ελληνικά

Η πατρίδα που αγάπησα
Η Ελλάδα που ονειρεύτηκα
Παίρνει χρώμα
Απ' του Αιγαίου τα νερά
Η αγάπη που περίμενα
Η αγάπη που φαντάστηκα
Ήρθε απόψε κι έχει μάτια γαλανά
Η πατρίδα που αγάπησα
Η Ελλάδα που ονειρεύτηκα
Παίρνει χρώμα
Απ' του Αιγαίου τα νερά
Ένα κύμα με παρέσυρε
Ένα κύμα ερωτεύτηκα
Και μια θάλασσα
Με παίρνει αγκαλιά, αγκαλιά

Σάμο, Λήμνο, Σκόπελο
Σίφνο, Τήνο κι Αμοργό
Πάτμο, Μήλο, Λέρο, Μυτιλήνη
Μ' ένα sleeping bag μόνο
Και ταβάνι ουρανό
σ έψαχνα στου φεγγαριού τ' ασήμι

Βγες ψυχή μου, φώναξε, γέλα
Πιες, τραγούδα, ζήσε την τρέλα
Μες στις φλέβες μου έρωτας κυλά
Δυο θαλασσινά μονοπάτια
Δυο γαλαζοπράσινα μάτια
Στάξαν στην καρδούλα μου φωτιά";1;2004
Λόγια της σιωπής;Τυχερός;Μητρογιαννόπουλος Γιώργος;Βάρναλης Κώστας;Μητρογιαννόπουλος Γιώργος;ΜΕΤΡΟΝΟΜΟΣ ( EL );2015-01-01;"Ανεμοδέρνουν μέρα νύχτα απάνου
σε στύλους σταυροσήμαδα φτερά σου , 
να γελιέσαι πως είν᾿ Ελλάδα ο τόπος .
Μα δίπλα τ᾿ αγκαλιάζει να τα σπάσει
του ξένου η αστερομάτισσα κατάρα .
Αν φαρμάκωνε μόνη τον αέρα , 
ίσως , ραγιά να ξύπναες κάποιαν ώρα∙
Στη χώρ᾿ αυτὴ που τήνε λέω δικιά μου
ξένος είμαι και τυχερὸς που ζω ! ";1;2015
